age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,ext_0,ext_1,ext_2,ext_3,ext_4,ext_5,ext_6,ext_7,ext_8,ext_9,ext_10,ext_11,ext_12,ext_13,ext_14,ext_15,ext_16,ext_17,ext_18,ext_19,ext_20,ext_21,ext_22,ext_23,ext_24,ext_25,ext_26,ext_27,ext_28,ext_29,ext_30,ext_31,ext_32,ext_33,ext_34,ext_35,ext_36,ext_37,ext_38,ext_39,ext_40,ext_41,ext_42,ext_43,ext_44,ext_45,ext_46,ext_47,ext_48,ext_49,ext_50,ext_51,ext_52,ext_53,ext_54,ext_55,ext_56,ext_57,ext_58,ext_59,ext_60,ext_61,ext_62,ext_63,ext_64,ext_65,ext_66,ext_67,ext_68,ext_69,ext_70,ext_71,ext_72,ext_73,ext_74,ext_75,ext_76,ext_77,ext_78,ext_79,ext_80,ext_81,ext_82,ext_83,ext_84
20,M3FFK,29,4DHSF,21,GJABO,KBP2E,FBGIA,17WLI,Y88OS,54,10,21,3LVCH,<=50K,Y8TTI,CK21D,Y8SBQ,O2C8Z,IB302,F30ZU,EY432,1J1BO,KWU8D,873AG,XXZTA,BUMQD,J4AWS,ER67J,3JLR1,X3PR8,5LU1H,HF2IE,EF31Q,PUSGV,5PF5Y,RWBT2,N2G1V,VPCQI,FTB8P,HYW55,S9Q9L,WWDAI,DRD3V,26OF3,7C8RI,74071,F65PT,1KL9J,UWJZH,M1IZI,LUN2O,1BBCN,KO9ZS,0HKYD,56JIN,E3642,QLXUK,4ZX6H,1SFOX,0DZR4,00HKC,MBXQJ,5QEO2,2BIRU,L8568,GAUZK,BH7AJ,JE1RD,RFGDL,7MGZ7,SZZGG,QNG6V,TJ0IS,N5CFX,FRHO6,ES87X,O1GQN,ZRF16,H4MJM,BBIPF,DN3YP,GB965,0VGBV,XHW9V,9XAHY,JKWV5,1L096,4G9N5,EJGHL,OXRQ2,0QIEN,ZQU1M,Z11PX,H65G3,GH8X9,6P5K5,27NVE,WTSB2,GZK6C
70,K6ORE,15,WQACR,96,56PSS,VQK3J,SX2JM,PVW76,KZ3NL,10,21,30,RXW57,<=50K,CQADR,WXS99,XN4EJ,GESO4,7CBJ3,QQG1T,TNP1E,DBPXL,QHGIT,KBVTN,PP3I1,UDNHD,H5IX8,N4GF5,ZIL5F,JQG09,PLYKR,ZVZIO,8NIWM,V5OKP,YZEVC,GXHQR,LC8TK,3UMGB,EK6HA,QYQ2I,LHK97,3WV80,1RDEO,FTKKY,4NXG6,RQDE9,10P2Q,R76ZR,2EZVJ,4NCG8,IOH44,FWVSD,4CIID,1223E,R2NG3,T4PY7,GD5RN,65RWR,Q6ASX,2SUXS,77QN6,1X7RL,U68U4,P9PMB,1US5B,VFN3L,GVPE9,YAEH0,J7AOM,WMO5A,AZLBR,Q6KVJ,G0QWK,IVZPL,8C7DG,MIXOC,OKCTF,IOEMG,YZG3Z,TC99X,LNJ12,3DWFF,IPLJZ,PX97P,SBWI5,T2W7F,DD8ZO,NNY4B,WF24L,TPGDK,ZDIQW,1L5GP,HK64C,42HJU,HU76X,WRFH6,CSN51,DL07O,EP9ZK
1,AL0UU,5,C3U3K,35,BAR9Z,JVGNH,78Y3T,UBAGM,7QKBR,22,92,33,R59CZ,<=50K,B1HTK,ZIPNU,HRQ22,T189U,4BS1A,7VRTA,JX1TG,UGWIU,0U4RU,74IKW,L9M3W,9Z4S9,NWJC6,9WS3M,VDVME,PYEYE,K7QRI,F04GT,SY918,Y0PXA,3Z5JC,46JVA,1P0EZ,SB7UP,229C7,J3KZY,LCAXF,DJ8OK,78A9R,2TS41,D01HX,XE1VA,FA4A5,0W5SJ,5HZYE,QIHPV,WTNOC,OTDOJ,10Y9C,I4W6U,12SLC,W3CLQ,DX0YN,SGN43,CNKGI,IPGHH,HPA0D,6M0T7,7N2V5,6JAX0,PVWMF,HPVNF,RESFO,ZW4WN,ZFQ57,MUB8Q,JEG09,7ADG7,BGAX4,VD2AI,SPNFM,UHS1Y,GYZCS,90VYM,B1FEC,LJ2BR,59Z23,L8BLV,JMS3A,OC4JD,5DYCX,7SK1E,IFD29,IXVQU,U4ZBT,C8EB5,QA5WV,C6UN6,ZUERV,E2YLJ,HW2HA,D7KVO,5GULW,5NJKU,IWCFD
37,QYQCC,21,P6RA7,35,43EPO,F16TL,W5OGC,ANUTU,S365J,2,8,7,4JZOA,<=50K,8PINE,5VXZF,BSK6W,7PAIB,JSFHL,0WQA3,QT1FX,7N8R1,CWIHY,QTKHY,XBVMS,B49AN,58FHA,4INZK,F5TWY,OCEEE,MOPI6,UJOSL,PTJGW,9WJFV,1OR26,LQ3SN,9XO7O,A1JVL,H0CR9,FJBUL,5H7JA,3MQLB,C92I4,DL1CG,81K4O,5VW5F,819DE,XYH9F,BP41C,LZD5T,JQJG1,UIX7Z,3PWC0,2BV3S,1G4Z3,FG96I,ETAL8,W2IER,L2JFC,NHA7D,FS5RL,8BXA3,UWPHF,03R6Q,JGKJ7,G3GQ0,T6SFL,A1LJ2,01N7L,PDC2E,D6X3M,5C0KA,GVQ1D,Y8A1X,443UM,UHS1Y,QNOPP,86D9M,BU28M,ABLQ8,TCAIP,DSJTK,ZD7EE,DNUPG,M67Z2,B3XZV,3RZLN,EE2QD,A41WY,BQL1X,2O65S,6OCNR,BRZ5H,DUTUK,ZTON3,QR4RZ,CFBTB,IWZQZ,GSFE1
20,J2K9Y,4,66CTN,31,814BT,EN9QO,L887K,ES7E5,WFLHR,44,35,15,6YPVH,>50K,4F9BG,1F6FM,D59LH,LKHIE,PD583,1HCLX,2W33K,KPL1Z,2R7BP,TG7GI,S2EXF,B0NDX,H5IX8,6BJH0,P8MX0,LDDNH,CF5H6,5HDHJ,C598L,M5FJK,Z8AQK,EYYL2,NNEFJ,8CBKW,MLRDN,8AF03,WRV29,ZP2EF,VM9LS,9T317,VP66D,IIOIC,JD2IN,YG1DH,Y6G5T,LHCKD,U8KN0,HGOXV,NTXMC,EPY54,2GM9A,0U1C7,7PK1M,116FE,ZEG8Y,QFLF3,H23U2,MNRZL,K8FGF,D3H6Q,12CG0,H3IY2,GC3WB,YPA8M,3R5Z5,Y9BMT,O7CPZ,FIGZF,PGOR1,OES31,9LA8A,P33BL,3F7LZ,U6PM5,K37NQ,HX3K9,MVT17,31WDT,UPU1X,3D102,KNQHW,D8EGH,86U7M,6RYU5,BIHC6,PPFVZ,0QIEN,V1WWC,YY914,CUT9R,0YYHH,RA261,E81CG,SQACH,PD2QP
55,S6HGP,42,RTC1E,49,RB4YK,7PPPG,IFPDA,OSOQO,R7IRP,64,53,16,52LGM,<=50K,22NZH,4BOQ6,HVCJS,JFQV7,6O00R,W3CU2,X57QP,B1LJR,7FYH4,SH7YF,216XP,IAY7E,OBMPB,RLE37,86DTQ,4D53X,CF5H6,SJP9M,4XSYP,ZNPR6,APFXF,YS580,GVB6H,B5XXG,ZWDTT,ZYUUQ,ZJ8SW,7GFDW,D8R9A,28NVJ,VRAKD,RJ5VS,XM8B8,956F0,8543Q,9F2SM,U6UDW,N8IYR,BJQHP,F4GHV,R10FQ,F5M00,RQCWB,08AGH,NGD6K,I8HPI,KIH3Q,X7OSJ,B9DF7,ZMHF6,602I4,QJX4G,7J11K,CT9W8,9USOE,AX4D3,04JGH,DQPEY,EN76D,KP2M0,J7GQ0,021MM,PWC13,OZ6XW,94GNB,0X7BE,MVT17,NOEF8,88QLT,P6OX6,OT1CN,EX661,R7DNJ,PFOZ1,VLF6T,6JV41,33C9Q,N5L38,NBP0I,XB9AX,KDRPE,1IY7P,3FCEO,BX1GW,42U4E
51,K6ORE,54,WEF71,0,3YOBJ,JGA0E,S7WH3,8TAG0,CW6JR,83,54,40,6ZWKA,>50K,RFWKZ,VGM6W,O1C0S,DESEF,NZQSH,FDFD4,3TW4B,DBJZL,6FHB0,5IQCA,13EGZ,BUMQD,H0RFX,7RN31,6Q46Q,ZD7F6,6T26W,KSLTI,MZ5UH,VAA22,Q8SLI,AEOHP,ATH83,OCRIY,G5F8Q,09ZHS,OII0G,S5V9C,9OYBC,T59MH,XNBOE,6INNN,LHY25,MGXRY,QY76J,E1IDF,8ZEPN,97LJ6,N72U0,TYMVF,SW805,ZZVLW,8ZM6A,OSDR6,39EMW,2KEG3,QV42R,FJLKK,CPV2E,O9CCQ,JO60E,B61WG,11OS6,8L4ER,SO6TL,E0R2G,WPRKO,BJXIQ,E2DCG,811IX,JXQ43,I2UOR,3AQZT,WF2PP,S40FK,BD3RL,TCAIP,XRXG4,DK2RW,PAOO3,XBVMM,7X1ZT,LPBTP,07BI0,IHQ34,INV0A,3KCY3,B76E4,4APCF,YYD2L,WRBD1,CZJ8C,JBNRS,ZJNPW,3WRA1
83,YAAFT,90,3ZTE8,36,V1J8X,OOI31,M8PEC,SMGV1,Q62BK,0,68,39,EKV7W,>50K,W7Y1Y,KDTUS,I6FUC,GTR4D,QGQJS,53RN1,EJY69,B9SNU,MNH76,4BR5R,ZTHGV,UFRZ0,RC3LX,4FBRP,F9ULA,3X7V2,JPHPV,PVHLR,FOF1R,EDQ6F,1IWLX,DRYE7,UBDP7,A61RR,SILGT,89TXG,I3UDX,JBVX6,W0OL3,HQE12,I355E,JSFK7,NNCXZ,HSBGA,PBPH6,P4J1F,HXESL,WE7KS,E4H80,E7OOW,KWMBZ,2KWE2,9XL09,FVA1X,FXETO,ZQ27L,SMO2N,PT9K4,547N2,JUO5N,15S8Z,WMTJQ,P91EP,2MNU0,O463T,MTQEO,B8ZON,00EPW,I36WS,R2CIE,TR4R1,TEM2K,6ZJ8U,3VWDQ,UY99J,PI7ZR,034P7,1UN32,WA74O,S1W45,3N731,VLNU7,ZBEMT,9DZJ0,CU62J,LXMF9,6LUR2,EF38B,MC590,1VLCI,UMWN0,ETS3X,WT428,FEQVI,LA3XN
91,BFRL1,20,VTO4D,79,WFOBG,XRQAV,412KR,OSOQO,OV008,50,26,74,OL8E3,>50K,NUK0P,T3DXG,42KOK,7PAIB,4IHJ1,BMY6M,TZNSW,UTM6B,JIHVU,KNBBC,E78RO,27D7Z,70Q8K,ZFFGV,512WX,E915O,Z0PBF,3N8I1,EN8BQ,7CJO2,J3A73,D7V9V,U3DSN,U71R6,FJAQW,6S1BC,WRV29,4GNFN,A41VG,YEBFR,CEQYG,7NJ6U,IQ61J,2QLIE,TOZ3K,FNY69,UZNZ6,D1HW5,4WELE,WMG6L,WVZ7Y,8MRHW,AOSTZ,AFINB,SPV70,QFLF3,S3PJ2,TX1MP,2LTLN,FPL52,7TS3M,J64F9,4PYQ3,H77KB,IRFWC,JAV9X,UG3KM,V5IMU,BGJQ1,NGI1Q,Y49HP,QUZMI,6ZJ8U,RH2MN,DEQTJ,V8PN5,7KSDJ,61VF0,01GEI,JG6OJ,FLMCE,RG9IW,RGCE1,F48UG,23TD6,0DG5K,GYE0R,VCYI1,P8BTO,11ZY3,IEICH,7H1MC,ZHJTD,GXTTK,B0DVE
75,XDZGE,47,DSX2I,59,C7JFH,QQNPW,ITUE7,AAOJ7,7BJBT,36,90,9,DWQ1E,>50K,O7JE9,7KA5K,685C0,W8Z9Z,V8HLD,RDV3D,RLPUC,Z500Z,I4NSP,V91UD,4MWKR,OHZJO,3M8SU,J4BE2,UNU73,XJPAM,B26QN,LPXJ4,U0QU2,7BN9W,Z215J,EVJ0D,V019L,G8OU3,XJBM1,N629V,7NE57,5ZZVC,AI0ZC,KX59F,I2GYJ,JSFK7,35LCX,M6KT3,5KBTZ,UPF6N,Q4BRD,4DI7Y,9UMST,9J5VO,TN0SV,TAZZW,UOJMC,HS6PK,R08OB,QFLF3,439JE,7MIFB,H8BW4,Q1MKH,APLE6,FF1VV,NKUBR,CTR75,0TQIP,1QJF0,D5TR0,GE1B6,RY3WP,NGRPH,UPHPJ,SGC0P,LHJMX,1MYEK,FCBZ6,JWPLG,PJIX0,YT0VS,A5QX1,7KJAN,9IOWD,D3HH6,Z5JOL,NABV5,0IR0I,ZP4EF,9JJSX,2XR2C,7IBBR,FG8U8,GH8X9,ODAZC,RFAA5,GVIE0,8P979
83,CNE6W,69,Y1QT7,75,5LAU4,ZHWL5,GDVQD,41UUW,A3JCJ,33,7,63,AX4TB,<=50K,M1NHC,SOPSV,WLSWM,UMM8T,IO9D1,9MGYT,MCOA9,7C72J,EIR6W,TZW47,4UGB1,Q24PL,3JCUO,S6DYD,US1R1,GEYSK,DCO4Q,9JKHK,O4ZIJ,Y0PXA,1UU1G,79NNB,HEP6D,TJPHD,BG514,4ROOB,I7ZVZ,LM33P,F9VMV,FTKKY,MBKQF,RM7LB,MH3LP,CAF83,692XF,629YC,J0CZ6,8Z9CN,6UI8D,XHY36,1T7P6,D7JTA,FVJWA,RK9KY,SMROW,LKUNE,OGU8H,Y03T2,7AOAC,5JQNN,UAR6H,JCKEH,62PUO,8QKA2,JPJ7C,ZCR3Z,D53K8,ME45P,KC07F,CBSMF,VOB1R,WKP5N,ZPT1T,86D9M,RO61M,4L94Y,RUKBR,BJMXM,5613X,LOIA7,MI7CI,ON3X1,XOMVC,GAUTA,VLF6T,32GFL,TWRXU,SORT3,8V0XG,H65G3,YTXHD,GKW4B,93OWD,N359T,DRZX7
56,GZXDM,80,QRUCT,2,SL5FM,LK78E,7Y7U2,RXCPT,Z353Z,90,7,54,YNP59,>50K,10Z74,N56N4,TQOB3,YBWBL,832SV,XMQ1C,27Y9O,XYB0O,VQZAB,GE3G6,RW9BI,6WBE6,R0BZ1,X28VF,2QK98,Y8GF4,1YHVG,2D1W5,LUF6R,LPLMN,AL7XW,73TNM,0E7XN,O5QL3,A4KN8,0V4B4,2UI6Y,28V1Y,2YR2G,XA2A9,M5ZST,6DOXG,CBXDA,IZ9YV,HYAE8,6GUXM,JCLZ1,S8OLV,P9271,C20E7,6AZ9T,FS94R,C7IG3,C7W5S,NDPM9,3ND2W,8BVSS,Z8QWG,9VX58,94XDP,ENPH4,ZN01H,V33VF,CV0FF,SV75R,F8WX9,PAABW,543WW,I36WS,Y3WGX,3ZVT4,JONAY,RL3R8,ALJJE,BWF7T,3GMP1,Q746Y,R4INO,SZYRH,MXF4J,TRZRV,DGIOW,IZB9H,QQ6WJ,HQ24A,2LNJ3,2O65S,9B3SJ,SKTX0,8C28C,W4UIH,JBIY5,CBYD0,I1PVP,2EPCA
73,CFC5J,59,8WFMW,48,UO1K1,XX9TW,TL0LL,HZGD8,Y5CLC,24,29,72,PAPM9,<=50K,M0CV4,V3QSL,H6DM6,J56IE,AZKHQ,LY2VC,L3IXM,NHIK3,F68RF,ROO0M,KUAV6,DLZ6C,V1AQN,3EIB3,9E18M,NJEQ0,OY7P1,3N8I1,SAA20,4ZFQO,UJG6G,V41JG,ZRUKJ,8XDFJ,SGWHH,KRBYG,2QE0E,SYQKY,YS7UR,T59MH,KIN78,TO8JL,5CK0Q,5IHBQ,SWQPL,L3S1M,DL1R6,2FIE0,26LFP,HSHD4,EAG8Z,LZSF9,RVODM,Y96P6,EPHLT,QFLF3,1TX2B,7OLMM,A856O,L3LQ3,0N905,L9GQX,S04ZV,YXF1R,B79ZD,ZDMII,QVST2,TRH86,6D08M,NMKWQ,INKBP,HWFI4,HGIJ2,V22IS,4IHL8,HWH07,5D08C,YGRNS,99FY8,2HEI4,J0E41,20SBG,OB5UV,7OKA6,88VB7,P874S,O0NK7,Z0O0G,MU5K0,R8ZOV,RLK8O,N6IU8,LPRDB,E9MQ7,5T5TP
18,S6HGP,53,YRX5Z,21,3JZ29,KKCP5,70X2K,ODAG1,9YO3D,45,66,23,N9ITS,<=50K,5GXOH,MFPVG,T5XJE,A50WC,BV5G2,WMZ1O,QJS8R,BOFV8,18CA1,51Z2S,0Z78M,EVQC5,58U4W,YGGWV,56YZZ,3KW9E,H8TTF,MJ4TP,YR3AL,DLJRO,9VU4C,BSN1I,9XO7O,GO36M,LGIUQ,OYCGK,R190A,29CHS,GPHDE,NJQXZ,Y36SI,3N3WB,WCGNP,LTANH,HEDDU,9V7J9,QFAZC,ORE2C,JLIAN,K2ZEO,5JYER,7PE9O,K5ZOW,T529I,UPR26,NHA7D,9LFQ8,3PFHU,YU2EI,V9JAS,M1BKN,JCKEH,09AOH,YU353,90URQ,83LU1,GVUQG,U4BJG,R7ZZW,IPO8T,37T4K,3YCVH,R0GWG,WRB7E,QLGAK,C2QXN,8SRDH,2ZWAM,WY26T,ZZL1E,0RJ0V,RQCCC,BRIGL,858NH,3DGND,ETOI8,6EIOP,ZZZJI,14E9N,3F2UX,IO015,PAAGS,T9XTX,84T76,LOGTI
23,QV1HI,50,5M5HJ,77,7SI0R,QIKKV,856CA,UNM8H,1CIQX,36,57,1,UR6ZZ,<=50K,IACO4,N56N4,CJY2P,G9ZSS,J03A9,CY49D,0W7XP,FSQUP,5X0KF,TY2WY,5GIHV,QW58L,SJED5,QBRUC,DSK9K,9WHKR,C4ME1,3LXUT,1WPGE,URK2E,6YJ4G,R4VRA,3OF4T,EJB87,90FF6,XWV65,3QLZF,3MQLB,H5Q9X,Z64KK,6B9OI,ZWLHD,VPOOU,5OS3L,IRCQO,6TLC6,LKYVF,ORE2C,8LY0B,XJ3VU,H3OFI,RSQTB,TLW0V,GMXFT,0VAJW,IZZ59,38CVR,QEADE,MSRS0,2WYTK,6L435,497MT,OT401,UQQMS,FMRM2,IIRBV,Y5X2G,QNOK6,6C2BJ,DSTLJ,9LA8A,21DRC,9WI9C,E58CX,IB5GI,NI4TI,PJIX0,NWUQL,01XS1,CSY9R,R2NMG,G7Z6W,O902M,I3GP2,DGB02,URBDD,EVTTP,PEX5R,1TEQI,3F2UX,6TV4R,ZTL9F,G55XG,JYL7I,685DV
53,HSYW5,86,CYGGU,22,TLUGR,9X54U,F69ZW,PQ6VO,G20EO,33,79,98,OL8E3,>50K,FQVAW,UW64T,M77IW,QTFP0,3300V,PFFCP,XFRRA,DBJZL,0334S,TDPFB,8P9VH,GYC4X,7IN21,3AFO3,9E18M,Y8GF4,B26QN,NRCJX,TR8V4,W4ZGY,S845D,RT1F6,PXWVC,PRL1I,SGWHH,ZIE1S,F4U7I,0VACD,1CIAV,CA5IX,I1OIT,63P4D,XWOM2,XYH9F,M90YM,IG9Y2,LVFRV,724HM,I1HPF,BYKOB,FTLR1,FL4R8,JS400,BDJIR,GAP88,9DLBT,OWH1I,0WWY1,9VX58,2SXNA,NX15N,1NOF9,5QXNB,P6V7O,48HH5,Z6OVO,8OXTG,00EPW,WWAG4,8PLIX,3ZVT4,ZS6OW,UUPKR,A7R69,3W7JV,AUTL8,OUUKR,T25P8,GGJFS,3D102,Z9QZS,1KOPK,3TYJU,GB6BJ,7AN45,QL4GY,ETXS9,HQN59,YY914,ZGO4I,I29Q0,5P9U7,E81CG,A6PBB,CRTIL
36,CAO3F,46,932AA,95,4O3EA,A7VZB,7G7W9,VLOI9,SB1G9,9,23,46,6BROT,<=50K,4ZHJO,BSV6Q,KPUJ7,KW4JP,0OHRI,XEKSQ,GK03S,ZUNR1,JZQD9,2NDTE,8P9VH,IQ8TA,5QEQ2,35ZZD,5GCYO,A2JDB,R12X5,REJIV,SCVKN,7OWGO,P4YR2,P2605,XFQMX,CWNL0,0AMJR,WT3NW,VMFT1,V2K8C,ZE2C3,2BSI2,BDP6R,WB9YE,T1V5T,N5XDB,8LAT3,2M470,2HGB7,ZP03Z,3M9BT,I86TT,CMQMU,FL4R8,LVYCL,SSATL,0358F,KT7M5,4Q9D0,X9ZCP,D3B9I,0WEL6,292OR,W46SE,DI7JU,WBXMX,X24ZG,RUT23,AZLBR,LJO34,9ONTP,8PLIX,ZH7M5,1A3JZ,G7HWY,2HU2K,PGZ18,DZCLY,B2RW7,4JQKN,MY7E8,U5I1C,XBVMM,XKTDU,V6M9G,I4XAK,O8BY0,NRT1F,5HDGD,B42Z8,TE7T4,3F2UX,NCNUH,ODAZC,F9MIL,0BUWI,N6QRM
74,4ECMC,12,NWZBQ,81,1PJO8,N3NMX,78412,1GBQS,9YO3D,9,65,85,MO88U,<=50K,81ZFH,I79F4,M7OC6,GESO4,5WETF,0WQA3,NRU2P,YF95G,3XDVJ,GXYIQ,M6RJZ,VMBDL,75OU8,KTE85,RDXLI,VU2P1,MOPL3,T205H,K263S,ODLQM,Q4XJ4,K2C1B,ARAAV,UKY1J,IK2D9,9R0AV,E6B83,4ZSBO,D8N9J,4KZQ9,QFWGC,196IN,JKT83,IXN9D,MDMQN,BNN5R,Y9EQW,S2O5Q,2EJ3R,65ZU2,B24LY,K5H1S,C3A4N,BTKFJ,DPTLZ,AA5UA,PTV7C,MPQRF,PB56C,D3H6Q,XYS79,CANPP,63VTS,FM69H,VC6ZW,BCOQI,7M4HO,DFPWQ,7MYQ1,NGI1Q,3SR0R,OFZWQ,FMCFZ,G1354,OHM5U,4YA8Q,A75DK,793K1,R9RM4,3D102,872KA,1EJ0U,QR20K,ML17N,FIXR4,AWDIU,ZDIQW,XVPFI,4GI6M,HTCHY,P6RCZ,BS4CE,LPRDB,N7NO3,CXETK
1,ERLFS,4,QRUCT,96,XNA33,S68W0,DJOMX,17WLI,V9NMF,50,31,46,H7H6E,>50K,Y0HDQ,D5A0H,FUWXT,4GM1I,EEUWY,BMHHT,1N496,KWRAG,ODIS3,HIAPR,2OO62,M0874,CXNLC,CQFZT,FRPM0,NKGOV,R6E1W,9JKHK,7ZZU1,IABG5,XK07A,0FMJ0,OU66T,UWAAF,958YQ,BZSMM,K697L,ZYVEN,7220S,N7F2I,6B9OI,3PP4E,IXGJG,M2CUB,3046S,TGS2I,NML5L,ND3VF,2IX5Y,S56GD,H185E,Y95RY,O03HV,L9WG4,8IBLI,T47QC,D1325,4XS48,7QYQF,BOOPE,XGK7Q,YANL0,U680K,9GCDK,NJC0T,F8WX9,8RUQI,MASKJ,7Y8KI,50MII,9LA8P,RHF8B,IWZ0U,ZHPKF,B2SGZ,C2QXN,9Y4SA,RNPWJ,MZEOB,XGHBR,Z9QZS,0E1LK,OZYMH,VAAA9,D7PSH,3KDX7,4AT1L,WGFB5,7UH77,O1SK5,XEUYQ,BYDX2,SJDE6,PNHPX,KZGHD
42,JM4E6,92,NWZBQ,81,LH0PI,SRTWG,N68CY,QECBF,SXSXH,36,90,51,0D7Y0,<=50K,E1JUP,AEBXY,C8WVK,OS8XW,V8HLD,2W2IE,DFCP4,2Y1RK,2R7BP,6OBNW,CBUWS,ZPK9F,HHQD5,4OHYQ,JHJ6P,LBLAJ,LI9WC,CDCEC,2MQN6,B4Y9C,V6LVD,BYT3P,VBQ7X,58C5W,ZBMCR,JEA5D,HEQ9H,156LL,SE9YG,6AOP6,VRAKD,CMBJX,YF3YI,AJ9BH,J1Q2A,WSCUE,69I75,1M1AH,OT74C,R9PVT,GO40H,A3ZKH,8KA3D,ACI17,SIVG9,9DLBT,IOBKO,EB8B1,UKS1X,Q99UT,SPR5M,52735,92YO9,GFORW,CN7ZT,8AMAT,ZQ6I4,DP6O7,ISMJC,ZOYM4,4VXDE,UPTEO,549U7,A7R69,UD8MT,BBIPF,2WNFQ,4SYAS,UCVJT,WRV36,IVYFT,S71M9,R9TUZ,K209Y,CU62J,NRT1F,BD2NM,VDDZM,95HLV,0NK9A,97H83,S3SUR,X4X7Q,3Z93I,LGP5H
30,CV0YM,11,3HWEE,43,FJD26,LK78E,TNYVW,6N18U,8Y2SV,27,46,50,8UDON,<=50K,OJEIO,GLB46,ISDPE,BRQV9,6MXSO,31TCP,NQXVC,Z500Z,SCGB2,7GH7J,ZTZI4,82GWC,EWKTB,Q0TYN,FKUVI,QQPDX,WS6WP,50O33,FNXEU,CKJW7,L3SSC,9DBPB,MD6B4,VPCQI,OI2GB,HEQ97,FMUKM,IITHU,78A9R,SANXA,0OXWG,74071,7Q8AS,418TX,3046S,QR6CP,R9YC0,9U1PF,4JNTQ,19R0J,KWMBZ,65UEU,KX75S,HD9ZS,30JB2,AXCZX,BVEO3,64Q8N,RST5F,GML4K,0CLMK,I3NU4,XYL8J,7LCRG,MC75P,DIRHB,JB59I,G0C82,536DV,APRBH,CYRGH,O3VH4,TITUG,KPKQ9,FL4LV,WDPGW,XOUMA,SI5UG,RXUQC,W2W5L,FLMCE,Q7CUD,Y7BFH,7OKA6,O8BY0,65DWB,OVU5R,4CDU4,MUR0Y,NOLK7,I29Q0,FWM1G,O5CYE,FCJPO,4KPI4
91,6DU3C,10,A34M4,91,KUOEW,EHFMA,PO2D2,ZOV4N,6813S,22,14,15,5N434,<=50K,0GO5L,NIGNE,UNJL9,SLAJ0,MG6OC,KMZAB,29F78,I8DXM,7J5QU,KBVTN,ZTZI4,CDLPB,RO1M0,RWQ5N,ABS3B,IBHBN,TQFOG,3N8I1,HLKBI,9FLIM,8FMVO,LQZYJ,Q3PDY,LGD2P,2AXPB,VENBZ,AW9RE,71OAU,IYYQD,26OF3,AK3XD,8GO8E,QAFPT,BDCVD,IRCQO,CJ2J7,KXCDV,9HK0T,92XRQ,GEBZV,XTARZ,LAHV5,2WR04,CD3MV,JT0RX,UDXDU,O83YW,1L0P3,U68U4,J62HE,QIYXS,W6TPU,9UH5E,LZAEJ,KJZCT,MHYU6,S1HMG,KHXE5,DWYAI,9DE7R,NQBI8,M2WCN,Z6TUM,4D7XT,GNLUU,GEZ5N,B4ZKT,RJUG2,GGJFS,EB4TK,HS70R,0R8R2,R1SNJ,I3GP2,5SESW,CL580,LSRRM,Z2ZLV,VI58I,TW4DW,MOX50,SNTWC,S3EZE,1F35O,S8FT5
84,YW65Y,92,LLPQO,82,23ZJ8,O03WL,57Q49,ZQ7CI,GND1X,7,88,47,O1373,<=50K,8FH62,OEYHP,4OQ5S,DB366,ZMF0T,O5O5R,STTBH,20PO4,DVIZ7,109ZY,P3C23,BKZNZ,MTMKS,MM5QU,8VEJV,NVT42,TCHCP,RPLSB,Z910A,KCY9V,ZYNN9,FBP9E,96G44,NPYR9,BPWK0,CB3TW,A5NA6,IITHU,JVG5X,EGPG7,WP7OV,6OFRC,VPOOU,1PFYG,K8AUN,JWYSU,YQPXO,FF57P,3U8KS,C9K0G,WXG1V,ND122,2WR04,DICVO,T79AG,EIYGI,TVXL1,3SL2K,JE98G,2KEW2,EK7I0,L5JJW,ATDFZ,X0GNE,TZLCB,CD77B,O9408,K2FTW,G7ZCL,L03AN,LAW4R,WXUHV,Q93PQ,C96DC,W2WGG,R439M,PR0A6,CGK0U,T2GPK,DKWTA,1T9IH,I2HKL,G2OKO,HR6SH,PR3PU,S0F9L,5WR9K,YJP7C,7MYGB,42HJU,IO015,ICQFW,LSKGH,X037F,9LF9J
53,1R64L,78,S4R21,18,12LAH,N3NMX,33K01,HT6FJ,FKRWY,25,36,35,J437H,>50K,92C7G,X917B,5704T,EZ3DA,QV93X,7KJ79,WGIFE,MSCHT,EIR6W,OSKTO,7EAW5,G7PLU,3K6NA,YGGWV,1L80Z,GM14Z,T8C3I,2L4O1,9WS3K,IWYPO,P54QM,TK4PM,MBUR4,BCD1E,0AMJR,N8UIZ,Q6R6U,91CLS,6AQDF,9C244,LRCQY,SS1YK,MLASB,4QXKC,PE9UL,0WF1B,7WLC7,FPCMN,FWXHD,TK6MJ,QZAFS,3CU8P,6IKKG,S0AVT,NSLOV,VWMAV,BRGLY,2O676,YL4TI,BHSXZ,AB4WJ,YT3MD,NK8IC,3FGH4,46H32,LT54Q,YZQHO,PO4FH,7B5SM,CCWOH,7K8FP,O3VH4,9SALY,XYPT1,224RW,J0RDU,3Q7IH,GAJUS,F7CA8,ESN4A,XX017,K6MIH,9868B,GLNV3,OJITE,JN1HV,5WR9K,UUA9H,QFXTX,7L3WO,2W776,MVGKL,CT0GK,78W01,SRO9T
